genes,MAPPED_genes,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000141433,ADCYAP1,3.55E-01,2.72E-01,4.38E-01,4.472,8.386,4.16E-16,6.83E-12,25.9023
ENSG00000138640,FAM13A,-9.54E-02,-1.25E-01,-6.61E-02,6.365,-6.387,3.59E-10,2.91E-06,12.69002
ENSG00000135299,ANKRD6,1.34E-01,9.23E-02,1.76E-01,5.291,6.322,5.31E-10,2.91E-06,12.35552
ENSG00000104327,CALB1,1.92E-01,1.31E-01,2.53E-01,5.241,6.217,9.95E-10,4.09E-06,11.75607
ENSG00000125170,DOK4,1.06E-01,7.15E-02,1.40E-01,3.795,6.079,2.25E-09,7.41E-06,11.018
ENSG00000186297,GABRA5,1.40E-01,9.41E-02,1.86E-01,5.925,5.975,4.12E-09,1.13E-05,10.3592
ENSG00000156486,KCNS2,-1.32E-01,-1.77E-01,-8.79E-02,5.873,-5.846,8.60E-09,2.02E-05,9.65433
ENSG00000140945,CDH13,1.04E-01,6.89E-02,1.40E-01,6.255,5.789,1.18E-08,2.43E-05,9.33025
ENSG00000125851,PCSK2,-7.81E-02,-1.05E-01,-5.14E-02,6.488,-5.742,1.54E-08,2.73E-05,9.06718
ENSG00000129159,KCNC1,-1.01E-01,-1.35E-01,-6.63E-02,5.497,-5.728,1.66E-08,2.73E-05,9.04474
ENSG00000138623,SEMA7A,-1.17E-01,-1.57E-01,-7.61E-02,5.517,-5.645,2.64E-08,3.94E-05,8.59956
ENSG00000077044,DGKD,8.64E-02,5.63E-02,1.17E-01,4.767,5.629,2.88E-08,3.94E-05,8.56086
ENSG00000265179,.,2.82E-01,1.83E-01,3.80E-01,9.81E-01,5.61,3.20E-08,4.04E-05,8.08272
ENSG00000076356,PLXNA2,-8.05E-02,-1.09E-01,-5.21E-02,6.768,-5.562,4.15E-08,4.58E-05,8.10587
ENSG00000026559,KCNG1,2.24E-01,1.45E-01,3.03E-01,1.76,5.558,4.25E-08,4.58E-05,8.09249
ENSG00000174640,SLCO2A1,-2.52E-01,-3.41E-01,-1.63E-01,7.34E-01,-5.549,4.46E-08,4.58E-05,7.61144
ENSG00000134198,TSPAN2,1.81E-01,1.17E-01,2.46E-01,1.619,5.516,5.31E-08,5.13E-05,7.83048
ENSG00000154928,EPHB1,-1.28E-01,-1.75E-01,-8.12E-02,4.129,-5.362,1.21E-07,1.10E-04,7.2395
ENSG00000111262,KCNA1,-1.19E-01,-1.63E-01,-7.49E-02,6.608,-5.29,1.76E-07,1.48E-04,6.72835
ENSG00000017427,IGF1,1.61E-01,1.01E-01,2.21E-01,3.526,5.286,1.80E-07,1.48E-04,6.88892
ENSG00000124203,ZNF831,1.19E-01,7.45E-02,1.63E-01,3.859,5.261,2.05E-07,1.61E-04,6.7518
ENSG00000169621,APLF,-1.14E-01,-1.57E-01,-7.12E-02,4.75,-5.226,2.46E-07,1.81E-04,6.51923
ENSG00000180440,SERTM1,1.53E-01,9.52E-02,2.10E-01,4.899,5.22,2.53E-07,1.81E-04,6.48372
ENSG00000118242,MREG,-1.40E-01,-1.92E-01,-8.70E-02,3.794,-5.211,2.65E-07,1.81E-04,6.51451
ENSG00000106266,SNX8,1.14E-01,7.09E-02,1.57E-01,3.794,5.203,2.77E-07,1.82E-04,6.47373
ENSG00000148660,CAMK2G,-7.27E-02,-1.00E-01,-4.51E-02,7.942,-5.172,3.24E-07,1.98E-04,6.10261
ENSG00000146250,PRSS35,2.37E-01,1.47E-01,3.27E-01,2.353,5.172,3.25E-07,1.98E-04,6.32026
ENSG00000143126,CELSR2,-7.19E-02,-9.93E-02,-4.44E-02,7.694,-5.145,3.72E-07,2.18E-04,5.97638
ENSG00000147571,CRH,3.06E-01,1.89E-01,4.24E-01,1.583,5.125,4.12E-07,2.32E-04,6.05168
ENSG00000165092,ALDH1A1,-2.02E-01,-2.79E-01,-1.24E-01,6.038,-5.119,4.23E-07,2.32E-04,5.91872
ENSG00000197121,PGAP1,8.66E-02,5.33E-02,1.20E-01,7.021,5.112,4.40E-07,2.33E-04,5.83463
ENSG00000116717,GADD45A,-2.00E-01,-2.77E-01,-1.23E-01,3.157,-5.087,4.98E-07,2.49E-04,5.94395
ENSG00000086758,HUWE1,-5.04E-02,-6.98E-02,-3.09E-02,8.489,-5.087,4.99E-07,2.49E-04,5.67432
ENSG00000048052,HDAC9,7.29E-02,4.46E-02,1.01E-01,6.434,5.068,5.48E-07,2.65E-04,5.65123
ENSG00000082497,SERTAD4,-1.59E-01,-2.21E-01,-9.61E-02,3.485,-4.99,8.07E-07,3.79E-04,5.48534
ENSG00000185008,ROBO2,8.18E-02,4.94E-02,1.14E-01,6.674,4.963,9.24E-07,4.22E-04,5.14352
ENSG00000178773,CPNE7,1.35E-01,8.12E-02,1.88E-01,3.847,4.946,1.00E-06,4.46E-04,5.25981
ENSG00000257501,.,2.03E-01,1.22E-01,2.83E-01,9.95E-01,4.926,1.11E-06,4.79E-04,4.96902
ENSG00000134982,APC,-6.88E-02,-9.64E-02,-4.13E-02,9.702,-4.914,1.18E-06,4.95E-04,4.83213
ENSG00000241973,PI4KA,-7.27E-02,-1.02E-01,-4.36E-02,8.254,-4.904,1.24E-06,4.96E-04,4.81552
ENSG00000164112,TMEM155,-9.67E-02,-1.36E-01,-5.80E-02,5.846,-4.904,1.24E-06,4.96E-04,4.91624
ENSG00000198771,RCSD1,-1.26E-01,-1.77E-01,-7.56E-02,2.768,-4.885,1.35E-06,5.29E-04,5.02251
ENSG00000141404,GNAL,-9.35E-02,-1.31E-01,-5.59E-02,5.992,-4.879,1.39E-06,5.33E-04,4.78668
ENSG00000196557,CACNA1H,-1.69E-01,-2.37E-01,-1.00E-01,2.753,-4.843,1.66E-06,6.20E-04,4.8343
ENSG00000152954,NRSN1,1.12E-01,6.65E-02,1.58E-01,6.188,4.824,1.82E-06,6.65E-04,4.52134
ENSG00000154553,PDLIM3,1.09E-01,6.45E-02,1.54E-01,3.913,4.8,2.05E-06,7.17E-04,4.58646
ENSG00000149571,KIRREL3,8.14E-02,4.81E-02,1.15E-01,4.829,4.799,2.05E-06,7.17E-04,4.50897
ENSG00000189362,TMEM194B,-7.71E-02,-1.09E-01,-4.53E-02,3.683,-4.767,2.39E-06,8.18E-04,4.45879
ENSG00000203706,SERTAD4-AS1,-2.05E-01,-2.90E-01,-1.19E-01,5.10E-01,-4.709,3.14E-06,1.05E-03,3.92172
ENSG00000035862,TIMP2,8.36E-02,4.87E-02,1.19E-01,6.185,4.706,3.20E-06,1.05E-03,3.98525
ENSG00000149054,ZNF215,1.34E-01,7.77E-02,1.90E-01,2.106,4.688,3.47E-06,1.11E-03,4.13705
ENSG00000106648,GALNTL5,-2.17E-01,-3.08E-01,-1.26E-01,1.578,-4.687,3.50E-06,1.11E-03,4.08917
ENSG00000135750,KCNK1,-8.95E-02,-1.27E-01,-5.20E-02,6.572,-4.682,3.58E-06,1.11E-03,3.86521
ENSG00000170776,AKAP13,-6.17E-02,-8.76E-02,-3.57E-02,6.559,-4.668,3.81E-06,1.16E-03,3.80025
ENSG00000147041,SYTL5,1.10E-01,6.36E-02,1.57E-01,4.19,4.651,4.13E-06,1.22E-03,3.90272
ENSG00000003137,CYP26B1,-1.50E-01,-2.13E-01,-8.64E-02,3.617,-4.65,4.16E-06,1.22E-03,3.94892
ENSG00000157193,LRP8,9.19E-02,5.31E-02,1.31E-01,5.347,4.644,4.26E-06,1.22E-03,3.77431
ENSG00000120833,SOCS2,-1.09E-01,-1.56E-01,-6.30E-02,3.29,-4.639,4.36E-06,1.22E-03,3.92563
ENSG00000066382,MPPED2,-6.89E-02,-9.81E-02,-3.97E-02,4.639,-4.638,4.38E-06,1.22E-03,3.80776
ENSG00000101938,CHRDL1,1.32E-01,7.59E-02,1.88E-01,5.791,4.635,4.45E-06,1.22E-03,3.69882
ENSG00000117020,AKT3,-5.83E-02,-8.31E-02,-3.35E-02,9.127,-4.61,5.01E-06,1.35E-03,3.46245
ENSG00000168807,SNTB2,-7.77E-02,-1.11E-01,-4.44E-02,6.036,-4.583,5.65E-06,1.50E-03,3.45445
ENSG00000144021,CIAO1,-3.69E-02,-5.28E-02,-2.10E-02,6.511,-4.558,6.35E-06,1.66E-03,3.31985
ENSG00000131398,KCNC3,-1.33E-01,-1.90E-01,-7.54E-02,3.446,-4.553,6.51E-06,1.67E-03,3.54534
ENSG00000164512,ANKRD55,1.76E-01,1.00E-01,2.52E-01,1.632,4.55,6.60E-06,1.67E-03,3.52414
ENSG00000135363,LMO2,-1.36E-01,-1.95E-01,-7.71E-02,3.943,-4.543,6.82E-06,1.70E-03,3.45561
ENSG00000171051,FPR1,2.43E-01,1.38E-01,3.49E-01,2.099,4.524,7.41E-06,1.79E-03,3.46344
ENSG00000123384,LRP1,-5.86E-02,-8.41E-02,-3.31E-02,8.637,-4.521,7.54E-06,1.79E-03,3.08706
ENSG00000197119,SLC25A29,7.72E-02,4.36E-02,1.11E-01,4.837,4.517,7.67E-06,1.79E-03,3.26641
ENSG00000169432,SCN9A,1.47E-01,8.28E-02,2.10E-01,4.044,4.516,7.70E-06,1.79E-03,3.33578
ENSG00000145451,GLRA3,9.24E-02,5.22E-02,1.33E-01,6.812,4.516,7.72E-06,1.79E-03,3.12294
ENSG00000156675,RAB11FIP1,8.82E-02,4.98E-02,1.27E-01,3.881,4.511,7.88E-06,1.80E-03,3.32981
ENSG00000112964,GHR,1.30E-01,7.33E-02,1.87E-01,2.734,4.506,8.04E-06,1.81E-03,3.38708
ENSG00000080573,COL5A3,-1.53E-01,-2.20E-01,-8.62E-02,4.918,-4.498,8.36E-06,1.85E-03,3.18789
ENSG00000254615,.,1.29E-01,7.26E-02,1.86E-01,3.358,4.484,8.89E-06,1.95E-03,3.26264
ENSG00000054523,KIF1B,-4.97E-02,-7.16E-02,-2.78E-02,9.581,-4.466,9.65E-06,2.08E-03,2.83268
ENSG00000169436,COL22A1,2.96E-01,1.65E-01,4.26E-01,4.21E-01,4.456,1.01E-05,2.16E-03,2.93414
ENSG00000100784,RPS6KA5,-6.98E-02,-1.01E-01,-3.89E-02,5.478,-4.44,1.08E-05,2.27E-03,2.88101
ENSG00000104361,NIPAL2,-1.12E-01,-1.61E-01,-6.23E-02,5.527,-4.439,1.09E-05,2.27E-03,2.87075
ENSG00000111913,FAM65B,7.56E-02,4.20E-02,1.09E-01,5.904,4.417,1.20E-05,2.47E-03,2.75082
ENSG00000155886,SLC24A2,-7.62E-02,-1.10E-01,-4.22E-02,6.63,-4.401,1.29E-05,2.62E-03,2.64297
ENSG00000125945,ZNF436,-7.46E-02,-1.08E-01,-4.13E-02,5.805,-4.395,1.33E-05,2.64E-03,2.66693
ENSG00000146038,DCDC2,1.20E-01,6.64E-02,1.74E-01,2.443,4.394,1.34E-05,2.64E-03,2.92892
ENSG00000114948,ADAM23,-6.25E-02,-9.05E-02,-3.45E-02,6.903,-4.384,1.40E-05,2.72E-03,2.55849
ENSG00000143340,FAM163A,2.12E-01,1.17E-01,3.06E-01,1.254,4.38,1.42E-05,2.72E-03,2.79633
ENSG00000188729,OSTN,2.16E-01,1.19E-01,3.13E-01,2.079,4.379,1.43E-05,2.72E-03,2.87046
ENSG00000166949,SMAD3,-7.94E-02,-1.15E-01,-4.37E-02,5.518,-4.374,1.45E-05,2.75E-03,2.60215
ENSG00000138207,RBP4,1.03E-01,5.65E-02,1.49E-01,3.547,4.35,1.62E-05,3.03E-03,2.68685
ENSG00000166398,KIAA0355,4.71E-02,2.58E-02,6.84E-02,4.941,4.345,1.65E-05,3.03E-03,2.53243
ENSG00000101412,E2F1,-1.07E-01,-1.55E-01,-5.85E-02,2.589,-4.344,1.66E-05,3.03E-03,2.72844
ENSG00000151718,WWC2,5.57E-02,3.05E-02,8.09E-02,5.111,4.338,1.71E-05,3.09E-03,2.48353
ENSG00000172987,HPSE2,-2.36E-01,-3.43E-01,-1.29E-01,1.945,-4.331,1.76E-05,3.13E-03,2.6726
ENSG00000041353,RAB27B,8.54E-02,4.67E-02,1.24E-01,7.111,4.328,1.78E-05,3.13E-03,2.3224
ENSG00000187902,SHISA7,8.15E-02,4.45E-02,1.19E-01,4.485,4.327,1.79E-05,3.13E-03,2.50876
ENSG00000169507,SLC38A11,-1.70E-01,-2.48E-01,-9.29E-02,3.05,-4.325,1.81E-05,3.13E-03,2.63124
ENSG00000161281,COX7A1,-1.66E-01,-2.41E-01,-9.00E-02,4.277,-4.308,1.95E-05,3.33E-03,2.44894
ENSG00000169213,RAB3B,1.22E-01,6.62E-02,1.77E-01,6.274,4.305,1.97E-05,3.34E-03,2.26541
ENSG00000197863,ZNF790,-5.44E-02,-7.94E-02,-2.95E-02,4.361,-4.283,2.17E-05,3.63E-03,2.336
ENSG00000171798,KNDC1,-6.38E-02,-9.31E-02,-3.44E-02,6.392,-4.267,2.33E-05,3.86E-03,2.10357
ENSG00000214944,ARHGEF28,8.96E-02,4.83E-02,1.31E-01,5.174,4.26,2.40E-05,3.91E-03,2.16167
ENSG00000166603,MC4R,1.98E-01,1.06E-01,2.89E-01,1.278,4.26,2.40E-05,3.91E-03,2.35406
ENSG00000111642,CHD4,-4.23E-02,-6.18E-02,-2.28E-02,7.204,-4.253,2.47E-05,3.98E-03,2.00445
ENSG00000128989,ARPP19,-6.51E-02,-9.53E-02,-3.50E-02,9.506,-4.238,2.64E-05,4.20E-03,1.88354
ENSG00000135549,PKIB,1.16E-01,6.20E-02,1.69E-01,2.713,4.235,2.67E-05,4.21E-03,2.28552
ENSG00000225110,.,1.88E-01,1.01E-01,2.75E-01,9.68E-01,4.234,2.69E-05,4.21E-03,2.20145
ENSG00000143847,PPFIA4,-7.10E-02,-1.04E-01,-3.80E-02,6.578,-4.23,2.74E-05,4.21E-03,1.93988
ENSG00000139318,DUSP6,1.72E-01,9.23E-02,2.52E-01,5.473,4.229,2.75E-05,4.21E-03,2.01681
ENSG00000197635,DPP4,-1.37E-01,-2.01E-01,-7.34E-02,2.22,-4.216,2.90E-05,4.41E-03,2.22965
ENSG00000236790,LINC00299,-1.38E-01,-2.03E-01,-7.37E-02,2.808,-4.208,3.01E-05,4.52E-03,2.17962
ENSG00000142279,WTIP,1.17E-01,6.21E-02,1.71E-01,2.656,4.206,3.03E-05,4.52E-03,2.17815
ENSG00000081803,CADPS2,-8.31E-02,-1.22E-01,-4.43E-02,7.985,-4.203,3.07E-05,4.54E-03,1.77665
ENSG00000105429,MEGF8,-5.12E-02,-7.52E-02,-2.72E-02,7.161,-4.195,3.17E-05,4.65E-03,1.77499
ENSG00000104635,SLC39A14,-1.16E-01,-1.71E-01,-6.18E-02,5.837,-4.191,3.24E-05,4.67E-03,1.82673
ENSG00000070961,ATP2B1,-4.49E-02,-6.60E-02,-2.39E-02,9.939,-4.19,3.24E-05,4.67E-03,1.68163
ENSG00000247317,.,-1.06E-01,-1.55E-01,-5.59E-02,2.239,-4.174,3.48E-05,4.97E-03,2.06695
ENSG00000124134,KCNS1,-1.31E-01,-1.92E-01,-6.91E-02,5.572,-4.171,3.51E-05,4.97E-03,1.77343
ENSG00000197312,DDI2,-5.24E-02,-7.70E-02,-2.77E-02,5.346,-4.169,3.55E-05,4.98E-03,1.77867
ENSG00000161642,ZNF385A,-1.18E-01,-1.74E-01,-6.22E-02,3.024,-4.156,3.76E-05,5.23E-03,1.9638
ENSG00000170091,.,6.45E-02,3.40E-02,9.50E-02,7.835,4.153,3.80E-05,5.23E-03,1.58357
ENSG00000138709,LARP1B,-4.07E-02,-6.00E-02,-2.15E-02,6.252,-4.151,3.82E-05,5.23E-03,1.64006
ENSG00000114982,KANSL3,-5.07E-02,-7.48E-02,-2.67E-02,5.738,-4.143,3.96E-05,5.37E-03,1.64489
ENSG00000120903,CHRNA2,-1.84E-01,-2.71E-01,-9.65E-02,1.316,-4.14,4.02E-05,5.41E-03,1.89709
ENSG00000128564,VGF,2.22E-01,1.17E-01,3.28E-01,4.436,4.125,4.28E-05,5.63E-03,1.70009
ENSG00000154721,JAM2,-8.40E-02,-1.24E-01,-4.40E-02,5.675,-4.125,4.28E-05,5.63E-03,1.57631
ENSG00000138686,BBS7,-6.15E-02,-9.08E-02,-3.22E-02,6.348,-4.125,4.28E-05,5.63E-03,1.53005
ENSG00000187678,SPRY4,1.57E-01,8.21E-02,2.32E-01,3.188,4.121,4.35E-05,5.67E-03,1.81564
ENSG00000244405,ETV5,1.20E-01,6.27E-02,1.77E-01,5.831,4.113,4.50E-05,5.78E-03,1.52186
ENSG00000177875,C12orf68,1.14E-01,5.96E-02,1.69E-01,3.556,4.113,4.51E-05,5.78E-03,1.74573
ENSG00000188848,BEND4,1.22E-01,6.35E-02,1.80E-01,3.266,4.109,4.58E-05,5.81E-03,1.7563
ENSG00000267651,.,-1.30E-01,-1.92E-01,-6.77E-02,1.338,-4.108,4.60E-05,5.81E-03,1.78376
ENSG00000147100,SLC16A2,6.72E-02,3.50E-02,9.93E-02,3.522,4.101,4.74E-05,5.94E-03,1.70449
ENSG00000196998,WDR45,-5.80E-02,-8.57E-02,-3.02E-02,4.498,-4.099,4.77E-05,5.94E-03,1.58976
ENSG00000214960,ISPD,-8.75E-02,-1.29E-01,-4.55E-02,4.603,-4.096,4.83E-05,5.97E-03,1.56546
ENSG00000129244,ATP1B2,-1.65E-01,-2.44E-01,-8.57E-02,5.504,-4.091,4.93E-05,6.04E-03,1.47072
ENSG00000183092,BEGAIN,8.05E-02,4.17E-02,1.19E-01,3.967,4.079,5.18E-05,6.22E-03,1.57379
ENSG00000260214,.,8.80E-02,4.56E-02,1.30E-01,4.58,4.078,5.21E-05,6.22E-03,1.49529
ENSG00000135447,PPP1R1A,-9.60E-02,-1.42E-01,-4.97E-02,3.866,-4.076,5.25E-05,6.22E-03,1.56942
ENSG00000158290,CUL4B,-4.22E-02,-6.25E-02,-2.19E-02,6.766,-4.076,5.26E-05,6.22E-03,1.31322
ENSG00000100626,GALNTL1,7.67E-02,3.97E-02,1.14E-01,4.763,4.075,5.26E-05,6.22E-03,1.47278
ENSG00000099204,ABLIM1,-5.92E-02,-8.78E-02,-3.06E-02,7.432,-4.066,5.47E-05,6.37E-03,1.25007
ENSG00000169641,LUZP1,-5.95E-02,-8.83E-02,-3.08E-02,7.165,-4.065,5.49E-05,6.37E-03,1.25654
ENSG00000176463,SLCO3A1,6.34E-02,3.28E-02,9.40E-02,4.407,4.065,5.50E-05,6.37E-03,1.46539
ENSG00000198785,GRIN3A,9.41E-02,4.83E-02,1.40E-01,4.783,4.034,6.25E-05,7.10E-03,1.30621
ENSG00000183780,SLC35F3,-7.03E-02,-1.05E-01,-3.61E-02,4.801,-4.031,6.33E-05,7.10E-03,1.29364
ENSG00000134569,LRP4,-1.03E-01,-1.53E-01,-5.28E-02,6.668,-4.031,6.34E-05,7.10E-03,1.14836
ENSG00000184611,KCNH7,6.26E-02,3.21E-02,9.31E-02,5.596,4.03,6.34E-05,7.10E-03,1.21511
ENSG00000100678,SLC8A3,8.21E-02,4.21E-02,1.22E-01,4.878,4.03,6.37E-05,7.10E-03,1.27827
ENSG00000135046,ANXA1,-1.30E-01,-1.94E-01,-6.67E-02,4.137,-4.029,6.39E-05,7.10E-03,1.35577
ENSG00000101773,RBBP8,-5.85E-02,-8.71E-02,-2.99E-02,4.985,-4.02,6.62E-05,7.26E-03,1.23121
ENSG00000055813,CCDC85A,6.86E-02,3.51E-02,1.02E-01,6.581,4.02,6.63E-05,7.26E-03,1.10903
ENSG00000186732,MPPED1,6.01E-02,3.07E-02,8.95E-02,6.035,4.018,6.69E-05,7.26E-03,1.13722
ENSG00000231764,DLX6-AS1,1.28E-01,6.51E-02,1.90E-01,5.413,4.016,6.72E-05,7.26E-03,1.18071
ENSG00000139211,AMIGO2,1.35E-01,6.88E-02,2.01E-01,3.253,4.011,6.89E-05,7.39E-03,1.3827
ENSG00000147676,MAL2,6.49E-02,3.31E-02,9.67E-02,6.257,4.008,6.96E-05,7.43E-03,1.082
ENSG00000087116,ADAMTS2,1.72E-01,8.79E-02,2.57E-01,1.821,4.006,7.02E-05,7.43E-03,1.43867
ENSG00000136895,GARNL3,4.54E-02,2.32E-02,6.77E-02,5.982,4.005,7.06E-05,7.43E-03,1.0859
ENSG00000168453,HR,-8.81E-02,-1.31E-01,-4.48E-02,4.877,-4.001,7.16E-05,7.46E-03,1.17362
ENSG00000182132,KCNIP1,8.70E-02,4.43E-02,1.30E-01,4.001,4,7.18E-05,7.46E-03,1.26394
ENSG00000144357,UBR3,-3.09E-02,-4.62E-02,-1.57E-02,8.534,-3.993,7.41E-05,7.65E-03,0.93248
ENSG00000119314,PTBP3,4.44E-02,2.26E-02,6.62E-02,6.04,3.991,7.45E-05,7.65E-03,1.02795
ENSG00000169836,TACR3,2.01E-01,1.02E-01,3.01E-01,7.69E-01,3.979,7.82E-05,7.98E-03,1.26694
ENSG00000183036,PCP4,1.42E-01,7.16E-02,2.12E-01,2.773,3.975,7.98E-05,8.09E-03,1.28671
ENSG00000147231,CXorf57,9.47E-02,4.77E-02,1.42E-01,3.741,3.961,8.43E-05,8.49E-03,1.14526
ENSG00000144152,FBLN7,-1.39E-01,-2.07E-01,-6.98E-02,2.922,-3.958,8.55E-05,8.56E-03,1.22187
ENSG00000185477,GPRIN3,8.65E-02,4.34E-02,1.30E-01,4.478,3.938,9.27E-05,9.22E-03,0.97356
ENSG00000165879,FRAT1,-1.02E-01,-1.54E-01,-5.13E-02,2.048,-3.934,9.41E-05,9.28E-03,1.18046
ENSG00000164066,INTU,5.83E-02,2.92E-02,8.74E-02,5.819,3.932,9.48E-05,9.28E-03,0.82053
ENSG00000129951,.,1.03E-01,5.17E-02,1.55E-01,3.314,3.931,9.53E-05,9.28E-03,1.07366
ENSG00000117724,CENPF,-1.48E-01,-2.22E-01,-7.41E-02,2.851,-3.931,9.55E-05,9.28E-03,1.12531
ENSG00000113441,LNPEP,-3.79E-02,-5.68E-02,-1.89E-02,8.155,-3.927,9.68E-05,9.35E-03,0.69245
ENSG00000123496,IL13RA2,2.02E-01,1.01E-01,3.03E-01,3.78E-01,3.924,9.80E-05,9.41E-03,1.03371
ENSG00000253729,PRKDC,-4.31E-02,-6.46E-02,-2.15E-02,8.38,-3.922,9.90E-05,9.45E-03,0.66575
ENSG00000137573,SULF1,-1.11E-01,-1.66E-01,-5.52E-02,4.293,-3.918,1.01E-04,9.49E-03,0.92051
ENSG00000175054,ATR,-3.63E-02,-5.45E-02,-1.81E-02,6.733,-3.918,1.01E-04,9.49E-03,0.70915
ENSG00000080603,SRCAP,-5.27E-02,-7.91E-02,-2.62E-02,5.407,-3.914,1.02E-04,9.59E-03,0.79184
ENSG00000166167,BTRC,-3.66E-02,-5.50E-02,-1.82E-02,6.925,-3.91,1.04E-04,9.66E-03,0.6731
ENSG00000110660,SLC35F2,1.10E-01,5.46E-02,1.65E-01,2.891,3.906,1.05E-04,9.77E-03,1.0328
ENSG00000174943,KCTD13,7.71E-02,3.83E-02,1.16E-01,3.618,3.905,1.06E-04,9.77E-03,0.95385
ENSG00000031003,FAM13B,-7.57E-02,-1.14E-01,-3.76E-02,7.246,-3.903,1.07E-04,9.78E-03,0.63128
ENSG00000148090,AUH,-5.78E-02,-8.69E-02,-2.87E-02,4.959,-3.902,1.07E-04,9.78E-03,0.78633
ENSG00000105143,SLC1A6,9.13E-02,4.53E-02,1.37E-01,3.515,3.894,1.11E-04,1.00E-02,0.92075
ENSG00000105227,PRX,1.55E-01,7.68E-02,2.34E-01,1.947,3.889,1.13E-04,1.02E-02,1.02173
ENSG00000166747,AP1G1,-3.49E-02,-5.25E-02,-1.73E-02,7.033,-3.888,1.13E-04,1.02E-02,0.58249
ENSG00000226137,BAIAP2-AS1,6.89E-02,3.40E-02,1.04E-01,5.456,3.883,1.16E-04,1.03E-02,0.67262
ENSG00000163449,TMEM169,-7.49E-02,-1.13E-01,-3.70E-02,3.136,-3.882,1.16E-04,1.03E-02,0.922
ENSG00000162104,ADCY9,-5.12E-02,-7.71E-02,-2.53E-02,5.024,-3.879,1.18E-04,1.04E-02,0.69888
ENSG00000269138,ZNF209P,-2.18E-01,-3.29E-01,-1.08E-01,9.27E-01,-3.875,1.19E-04,1.04E-02,0.92017
ENSG00000134318,ROCK2,-4.31E-02,-6.49E-02,-2.12E-02,8.366,-3.875,1.20E-04,1.04E-02,0.48953
ENSG00000198914,POU3F3,5.87E-02,2.88E-02,8.86E-02,6.101,3.857,1.28E-04,1.12E-02,0.51823
ENSG00000146469,VIP,1.42E-01,6.96E-02,2.15E-01,4.3,3.851,1.31E-04,1.14E-02,0.66829
ENSG00000013810,TACC3,-1.50E-01,-2.26E-01,-7.34E-02,6.79E-01,-3.849,1.33E-04,1.14E-02,0.79701
ENSG00000136040,PLXNC1,5.38E-02,2.63E-02,8.12E-02,6.403,3.848,1.33E-04,1.14E-02,0.4678
ENSG00000102804,TSC22D1,-6.16E-02,-9.30E-02,-3.01E-02,9.065,-3.845,1.34E-04,1.14E-02,0.3634
ENSG00000136999,NOV,1.23E-01,6.04E-02,1.87E-01,3.726,3.844,1.35E-04,1.14E-02,0.71203
ENSG00000171951,SCG2,1.15E-01,5.61E-02,1.74E-01,7.23,3.839,1.38E-04,1.16E-02,0.4022
ENSG00000053108,FSTL4,-6.95E-02,-1.05E-01,-3.39E-02,4.71,-3.834,1.41E-04,1.18E-02,0.56551
ENSG00000156958,GALK2,-4.00E-02,-6.05E-02,-1.95E-02,5.367,-3.828,1.44E-04,1.18E-02,0.47136
ENSG00000165023,DIRAS2,-6.12E-02,-9.26E-02,-2.98E-02,9.249,-3.828,1.44E-04,1.18E-02,0.29567
ENSG00000082512,TRAF5,9.31E-02,4.53E-02,1.41E-01,3.799,3.828,1.44E-04,1.18E-02,0.64822
ENSG00000157240,FZD1,9.31E-02,4.53E-02,1.41E-01,3.021,3.828,1.44E-04,1.18E-02,0.7374
ENSG00000021355,SERPINB1,-9.37E-02,-1.42E-01,-4.56E-02,3.437,-3.823,1.47E-04,1.20E-02,0.6709
ENSG00000099381,SETD1A,-8.08E-02,-1.22E-01,-3.92E-02,2.443,-3.815,1.52E-04,1.23E-02,0.74007
ENSG00000009694,TENM1,6.30E-02,3.05E-02,9.56E-02,5.828,3.801,1.60E-04,1.29E-02,0.3334
ENSG00000198933,TBKBP1,5.87E-02,2.84E-02,8.90E-02,4.146,3.801,1.60E-04,1.29E-02,0.51014
ENSG00000142149,HUNK,-9.07E-02,-1.38E-01,-4.38E-02,3.806,-3.797,1.63E-04,1.30E-02,0.53904
ENSG00000100116,GCAT,5.91E-02,2.85E-02,8.97E-02,3.918,3.794,1.65E-04,1.31E-02,0.51115
ENSG00000138669,PRKG2,7.28E-02,3.51E-02,1.11E-01,3.785,3.793,1.66E-04,1.31E-02,0.52141
ENSG00000154134,ROBO3,8.42E-02,4.06E-02,1.28E-01,3.274,3.792,1.66E-04,1.31E-02,0.58246
ENSG00000168280,KIF5C,-4.62E-02,-7.02E-02,-2.22E-02,1.01E+01,-3.78,1.74E-04,1.37E-02,0.10021
ENSG00000176681,LRRC37A,2.21E-01,1.06E-01,3.36E-01,2.168,3.778,1.75E-04,1.37E-02,0.62593
ENSG00000182095,TNRC18,-5.77E-02,-8.77E-02,-2.77E-02,5.45,-3.776,1.77E-04,1.38E-02,0.28021
ENSG00000267473,.,1.92E-01,9.19E-02,2.91E-01,7.26E-01,3.774,1.78E-04,1.38E-02,0.56781
ENSG00000132164,SLC6A11,-1.01E-01,-1.53E-01,-4.81E-02,4.93,-3.77,1.81E-04,1.39E-02,0.30877
ENSG00000177182,CLVS1,5.12E-02,2.45E-02,7.78E-02,4.691,3.768,1.82E-04,1.40E-02,0.32497
